GEO.id,GEO.id2,GEOdisplaylabel,GEOdisplaylabel_long,County,per_white_latest,per_black_latest,per_asian_latest,per_hispanic_latest,per_white_prev,per_black_prev,per_asian_prev,per_hispanic_prev,white_latest_moe_per,black_latest_moe_per,asian_latest_moe_per,hispanic_latest_moe_per,white_prev_moe_per,black_prev_moe_per,asian_prev_moe_per,hispanic_prev_moe_per,nj_per_white_latest,nj_per_black_latest,nj_per_asian_latest,nj_per_hispanic_latest,nj_per_white_prev,nj_per_black_prev,nj_per_asian_prev,nj_per_hispanic_prev,us_per_white_latest,us_per_black_latest,us_per_asian_latest,us_per_hispanic_latest,us_per_white_prev,us_per_black_prev,us_per_asian_prev,us_per_hispanic_prev,white_change,black_change,asian_change,hispanic_change,nj_white_change,nj_black_change,nj_asian_change,nj_hispanic_change,us_white_change,us_black_change,us_asian_change,us_hispanic_change
0600000US3400100100,3400100100,Absecon city,"Absecon city, Atlantic County", Atlantic ,74.1170893577,7.1106897369,5.84261673382,10.5001185115,71.4285714286,8.65258384055,10.9678959303,6.94593626924,4.1733290694,27.6666666667,42.5963488844,28.1038374718,7.28487886383,31.0344827586,37.8672470076,42.9553264605,56.6949239613,12.7185642552,9.12825995664,19.2904434725,59.9006816356,12.8496147178,8.1205392763,17.2768187231,61.9549883013,12.2735260508,5.15614382532,17.327795544,64.164264424,12.2143526662,4.67477419032,16.0518452461,2.6885179291,-1.54189410365,-5.12527919648,3.55418224225,-3.20575767433,-0.131050462618,1.00772068034,2.01362474941,-2.20927612267,0.0591733845781,0.481369634996,1.27595029792
0600000US3400102080,3400102080,Atlantic City city,"Atlantic City city, Atlantic County", Atlantic ,17.4553503282,35.4576909378,16.4351498499,27.6166488577,20.0135514957,37.1963461152,15.9129692833,24.4152780566,8.64305494826,5.43876013489,9.59752321981,7.93182865039,9.09090909091,6.30144379976,10.5188456079,9.00400863398,56.6949239613,12.7185642552,9.12825995664,19.2904434725,59.9006816356,12.8496147178,8.1205392763,17.2768187231,61.9549883013,12.2735260508,5.15614382532,17.327795544,64.164264424,12.2143526662,4.67477419032,16.0518452461,-2.55820116749,-1.73865517747,0.522180566619,3.20137080107,-3.20575767433,-0.131050462618,1.00772068034,2.01362474941,-2.20927612267,0.0591733845781,0.481369634996,1.27595029792
0600000US3400107810,3400107810,Brigantine city,"Brigantine city, Atlantic County", Atlantic ,83.515531984,2.04567593895,3.89652559801,8.65894577335,80.9601301871,0.956061838893,7.10943856794,9.79454841334,3.46034214619,78.3068783069,53.3333333333,31.75,7.23618090452,91.4893617021,41.9170243205,52.9595015576,56.6949239613,12.7185642552,9.12825995664,19.2904434725,59.9006816356,12.8496147178,8.1205392763,17.2768187231,61.9549883013,12.2735260508,5.15614382532,17.327795544,64.164264424,12.2143526662,4.67477419032,16.0518452461,2.55540179684,1.08961410006,-3.21291296993,-1.13560263999,-3.20575767433,-0.131050462618,1.00772068034,2.01362474941,-2.20927612267,0.0591733845781,0.481369634996,1.27595029792
0600000US3400108680,3400108680,Buena borough,"Buena borough, Atlantic County", Atlantic ,61.424790472,3.92589325099,0.154389060432,33.7670930745,58.6487676056,6.20598591549,0.660211267606,31.5801056338,14.7576301616,64.0449438202,142.857142857,25.7348138472,14.8968105066,70.2127659574,150.0,24.5993031359,56.6949239613,12.7185642552,9.12825995664,19.2904434725,59.9006816356,12.8496147178,8.1205392763,17.2768187231,61.9549883013,12.2735260508,5.15614382532,17.327795544,64.164264424,12.2143526662,4.67477419032,16.0518452461,2.77602286636,-2.2800926645,-0.505822207173,2.18698744075,-3.20575767433,-0.131050462618,1.00772068034,2.01362474941,-2.20927612267,0.0591733845781,0.481369634996,1.27595029792
0600000US3400108710,3400108710,Buena Vista township,"Buena Vista township, Atlantic County", Atlantic ,73.8835725678,9.09090909091,2.57841573631,13.3572567783,74.32219005,11.3845748881,0.171097657278,12.9770992366,8.09498111171,35.5263157895,155.670103093,41.4925373134,6.94173897645,27.0520231214,223.076923077,36.0040567951,56.6949239613,12.7185642552,9.12825995664,19.2904434725,59.9006816356,12.8496147178,8.1205392763,17.2768187231,61.9549883013,12.2735260508,5.15614382532,17.327795544,64.164264424,12.2143526662,4.67477419032,16.0518452461,-0.43861748223,-2.29366579722,2.40731807903,0.380157541668,-3.20575767433,-0.131050462618,1.00772068034,2.01362474941,-2.20927612267,0.0591733845781,0.481369634996,1.27595029792
0600000US3400115160,3400115160,Corbin City city,"Corbin City city, Atlantic County", Atlantic ,96.694214876,0.206611570248,0.413223140496,1.44628099174,91.6393442623,2.45901639344,1.14754098361,3.93442622951,22.0085470085,300.0,150.0,128.571428571,25.4025044723,120.0,128.571428571,141.666666667,56.6949239613,12.7185642552,9.12825995664,19.2904434725,59.9006816356,12.8496147178,8.1205392763,17.2768187231,61.9549883013,12.2735260508,5.15614382532,17.327795544,64.164264424,12.2143526662,4.67477419032,16.0518452461,5.05487061374,-2.25240482319,-0.734317843111,-2.48814523777,-3.20575767433,-0.131050462618,1.00772068034,2.01362474941,-2.20927612267,0.0591733845781,0.481369634996,1.27595029792
0600000US3400120290,3400120290,Egg Harbor township,"Egg Harbor township, Atlantic County", Atlantic ,60.9504651748,7.28964271836,12.030539237,16.9223032437,61.566721972,10.3721260962,8.64896894999,15.5510784546,3.98289828983,21.5741611791,9.91829754893,14.1564230717,3.27622714148,17.2760511883,19.2655522061,10.486206371,56.6949239613,12.7185642552,9.12825995664,19.2904434725,59.9006816356,12.8496147178,8.1205392763,17.2768187231,61.9549883013,12.2735260508,5.15614382532,17.327795544,64.164264424,12.2143526662,4.67477419032,16.0518452461,-0.616256797276,-3.08248337787,3.38157028699,1.37122478904,-3.20575767433,-0.131050462618,1.00772068034,2.01362474941,-2.20927612267,0.0591733845781,0.481369634996,1.27595029792
0600000US3400120350,3400120350,Egg Harbor City city,"Egg Harbor City city, Atlantic County", Atlantic ,43.601225548,13.7638463351,4.66650954513,36.8842799906,47.6622470342,17.0504768551,1.25610607118,32.9378925331,21.5675675676,42.2945205479,94.4444444444,27.0926517572,17.0326988775,36.1527967258,94.4444444444,27.6836158192,56.6949239613,12.7185642552,9.12825995664,19.2904434725,59.9006816356,12.8496147178,8.1205392763,17.2768187231,61.9549883013,12.2735260508,5.15614382532,17.327795544,64.164264424,12.2143526662,4.67477419032,16.0518452461,-4.06102148623,-3.28663051994,3.41040347395,3.94638745743,-3.20575767433,-0.131050462618,1.00772068034,2.01362474941,-2.20927612267,0.0591733845781,0.481369634996,1.27595029792
0600000US3400121870,3400121870,Estell Manor city,"Estell Manor city, Atlantic County", Atlantic ,91.524426133,1.29487934079,0.706297822248,5.53266627428,96.5432098765,1.54320987654,0.0,1.35802469136,9.26045016077,127.272727273,133.333333333,71.2765957447,11.9565217391,120.0,inf,113.636363636,56.6949239613,12.7185642552,9.12825995664,19.2904434725,59.9006816356,12.8496147178,8.1205392763,17.2768187231,61.9549883013,12.2735260508,5.15614382532,17.327795544,64.164264424,12.2143526662,4.67477419032,16.0518452461,-5.01878374352,-0.248330535755,0.706297822248,4.17464158292,-3.20575767433,-0.131050462618,1.00772068034,2.01362474941,-2.20927612267,0.0591733845781,0.481369634996,1.27595029792
0600000US3400123940,3400123940,Folsom borough,"Folsom borough, Atlantic County", Atlantic ,81.2802582033,6.45508337816,1.18343195266,7.58472296934,88.8319088319,5.92592592593,0.683760683761,3.7037037037,8.93448047651,76.6666666667,90.9090909091,48.9361702128,7.56895445799,66.3461538462,91.6666666667,53.8461538462,56.6949239613,12.7185642552,9.12825995664,19.2904434725,59.9006816356,12.8496147178,8.1205392763,17.2768187231,61.9549883013,12.2735260508,5.15614382532,17.327795544,64.164264424,12.2143526662,4.67477419032,16.0518452461,-7.55165062857,0.529157452234,0.499671268902,3.88101926563,-3.20575767433,-0.131050462618,1.00772068034,2.01362474941,-2.20927612267,0.0591733845781,0.481369634996,1.27595029792
